Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50,Daily_Range,Avg_Price,Daily_Volatility_%,Year,Month,Quarter,Day_of_Week,Is_Weekend,MA_5,MA_200,Golden_Cross,Death_Cross,Return_Category,Volume_MA_20,High_Volume
1997-01-01,TATAMOTORS,343.0,361.0,342.0,360.4,337.35,2238300,790115690.0,353.0,,6.83266637023861,327.84749999999997,366.349,19.0,354.4666666666667,5.2719200887902335,1997,1,1,Wednesday,False,346.37,454.89475,False,False,Strong_Positive,2239362.5,False
1997-01-02,TATAMOTORS,363.0,363.0,353.0,356.75,360.4,2462600,880505672.5,357.55,,-1.0127635960044334,331.0575,365.099,10.0,357.5833333333333,2.8030833917309037,1997,1,1,Thursday,False,350.36,454.54625,False,False,Neutral,2305135.0,True
1997-01-03,TATAMOTORS,353.0,359.95,352.15,358.55,356.75,1532850,546417067.5,356.47,,0.5045550105115659,334.1875,363.60699999999997,7.800000000000011,356.88333333333327,2.1754288104866855,1997,1,1,Friday,False,352.34,454.20300000000003,False,False,Neutral,2308675.0,False
1997-01-06,TATAMOTORS,355.0,360.25,351.1,353.5,358.55,1075650,381529752.5,354.7,,-1.4084507042253551,336.4425,361.805,9.149999999999977,354.95,2.588401697312582,1997,1,1,Monday,False,353.31000000000006,453.77775,False,False,Neutral,2217477.5,False
1997-01-07,TATAMOTORS,352.75,352.75,341.25,343.95,353.5,2197250,763013342.5,347.26,,-2.701555869872705,338.065,360.145,11.5,345.98333333333335,3.343509230992877,1997,1,1,Tuesday,False,354.63,453.2305,False,False,Moderate_Negative,2252772.5,False
1997-01-08,TATAMOTORS,349.5,357.0,347.25,349.65,343.95,1005350,352275477.5,350.4,,1.6572176188399443,340.31499999999994,358.528,9.75,351.3,2.7885027885027887,1997,1,1,Wednesday,False,352.48,452.7285,False,False,Neutral,2204310.0,False
1997-01-09,TATAMOTORS,349.65,352.5,346.0,348.55,349.65,1079150,375913842.5,348.34,,-0.3146003146003048,342.45,356.87200000000007,6.5,349.01666666666665,1.8648687419308565,1997,1,1,Thursday,False,350.84000000000003,452.1965,False,False,Neutral,2170220.0,False
1997-01-10,TATAMOTORS,352.0,359.9,351.1,357.55,348.55,1863750,664362922.5,356.47,,2.582125950365801,343.9975,355.691,8.799999999999955,356.18333333333334,2.46119423856802,1997,1,1,Friday,False,350.64,451.75050000000005,False,False,Moderate_Positive,2164965.0,False
1997-01-13,TATAMOTORS,355.0,355.0,349.3,353.0,357.55,810700,285744650.0,352.47,,-1.272549293805065,345.745,354.457,5.699999999999989,352.43333333333334,1.6147308781869656,1997,1,1,Monday,False,350.53999999999996,451.28324999999995,False,False,Neutral,2096452.5,False
1997-01-14,TATAMOTORS,355.0,356.7,343.05,346.5,353.0,1247300,436055012.5,349.6,,-1.841359773371105,347.34250000000003,353.094,13.649999999999977,348.75,3.939393939393933,1997,1,1,Tuesday,False,351.05,450.80949999999996,False,False,Neutral,2002935.0,False
