Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50,Daily_Range,Avg_Price,Daily_Volatility_%,Year,Month,Quarter,Day_of_Week,Is_Weekend,MA_5,MA_200,Golden_Cross,Death_Cross,Return_Category,Volume_MA_20,High_Volume
1996-01-01,TATAMOTORS,378.0,380.0,377.5,380.0,379.8,7800,2955715.0,378.94,,0.0526592943654525,376.89500000000004,379.097,2.5,379.1666666666667,0.6578947368421052,1996,1,1,Monday,False,382.77,504.59825000000006,False,False,Neutral,20992.5,False
1996-01-02,TATAMOTORS,380.0,383.9,376.0,377.8,380.0,19350,7354800.0,380.09,,-0.5789473684210497,376.90500000000003,378.25300000000004,7.899999999999977,379.23333333333335,2.0910534674430856,1996,1,1,Tuesday,False,381.25,504.23224999999996,False,False,Neutral,20515.0,False
1996-01-03,TATAMOTORS,377.8,380.0,376.25,376.55,377.8,5700,2157065.0,378.43,,-0.3308628904182107,376.90749999999997,377.60200000000003,3.75,377.59999999999997,0.9958836807860841,1996,1,1,Wednesday,False,379.47999999999996,503.8425,False,False,Neutral,19652.5,False
1996-01-04,TATAMOTORS,376.55,377.0,371.5,373.7,376.55,20100,7529930.0,374.62,,-0.7568715973974299,376.3625,376.809,5.5,374.06666666666666,1.4717687985014718,1996,1,1,Thursday,False,377.57000000000005,503.461,False,False,Neutral,17235.0,True
1996-01-05,TATAMOTORS,373.7,374.8,371.0,372.35,373.7,12000,4471250.0,372.6,,-0.3612523414503521,376.02750000000003,375.973,3.8000000000000114,372.7166666666667,1.020545185980935,1996,1,1,Friday,False,376.08000000000004,503.07275000000004,False,False,Neutral,14722.5,False
1996-01-08,TATAMOTORS,372.35,373.0,369.0,372.5,372.35,25200,9375577.5,372.05,,0.040284678393978,375.93,375.16,4.0,371.5,1.0738255033557047,1996,1,1,Monday,False,374.58000000000004,502.69975,False,False,Neutral,15465.0,True
1996-01-09,TATAMOTORS,372.5,372.0,364.0,366.3,372.5,12100,4452277.5,367.96,,-1.6644295302013394,376.0125,374.066,8.0,367.43333333333334,2.1840021840021837,1996,1,1,Tuesday,False,372.28000000000003,502.3065,False,False,Neutral,15407.5,False
1996-01-10,TATAMOTORS,366.3,373.0,368.0,372.2,366.3,12950,4810862.5,371.5,,1.6107016107016043,375.915,373.21,5.0,371.06666666666666,1.3433637829124128,1996,1,1,Wednesday,False,371.41,502.01,False,False,Neutral,15450.0,False
1996-01-11,TATAMOTORS,372.2,378.25,370.5,375.35,372.2,15450,5807805.0,375.91,,0.8463191832348291,376.14,372.412,7.75,374.7,2.064739576395364,1996,1,1,Thursday,False,371.74,501.7347500000001,False,False,Neutral,15807.5,False
1996-01-12,TATAMOTORS,375.35,382.45,375.0,379.9,375.35,10450,3959262.5,378.88,,1.2122019448514598,376.59250000000003,371.968,7.449999999999989,379.1166666666666,1.9610423795735692,1996,1,1,Friday,False,373.25,501.50675,False,False,Neutral,16015.0,False
1996-01-15,TATAMOTORS,379.9,404.0,375.15,377.7,379.9,5550,2095370.0,377.54,,-0.5790997630955484,376.91749999999996,371.505,28.850000000000023,385.6166666666666,7.638337304739218,1996,1,1,Monday,False,374.28999999999996,501.24525,False,False,Neutral,15892.5,False
1996-01-16,TATAMOTORS,377.7,379.0,374.15,376.85,377.7,20450,7685542.5,375.82,,-0.2250463330685639,377.11,371.25,4.850000000000023,376.6666666666667,1.286984211224631,1996,1,1,Tuesday,False,376.4,500.9895,False,False,Neutral,15742.5,True
1996-01-17,TATAMOTORS,376.85,377.75,375.0,375.15,376.85,11850,4460110.0,376.38,,-0.4511078678519425,377.35249999999996,370.96200000000005,2.75,375.9666666666667,0.7330401172864188,1996,1,1,Wednesday,False,376.99,500.69025,False,False,Neutral,15360.0,False
