Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50,Daily_Range,Avg_Price,Daily_Volatility_%,Year,Month,Quarter,Day_of_Week,Is_Weekend,MA_5,MA_200,Golden_Cross,Death_Cross,Return_Category,Volume_MA_20,High_Volume
2003-01-01,TATAMOTORS,160.0,163.15,160.0,162.55,161.4,854813,138807851.5,162.38,,0.7125154894671659,161.275,154.97299999999998,3.1500000000000057,161.9,1.9378652722239345,2003,1,1,Wednesday,False,162.2,141.40375,False,False,Neutral,2213466.3,False
2003-01-02,TATAMOTORS,163.3,163.9,160.5,160.95,162.55,919909,149216102.7,162.21,,-0.9843125192248678,161.0725,155.418,3.4000000000000057,161.78333333333333,2.112457284871082,2003,1,1,Thursday,False,161.82,141.59824999999998,False,False,Neutral,2177797.85,False
2003-01-03,TATAMOTORS,160.95,162.9,160.55,161.15,160.95,754910,122235575.35,161.92,,0.124262193227721,160.6975,155.905,2.3499999999999943,161.53333333333333,1.4582686937635707,2003,1,1,Friday,False,161.48,141.7875,False,False,Neutral,2118329.3,False
2003-01-06,TATAMOTORS,161.5,161.8,156.25,157.3,161.15,1528041,241853490.2,158.28,,-2.389078498293512,160.35,156.33800000000002,5.550000000000011,158.45000000000002,3.5282898919262626,2003,1,1,Monday,False,160.67000000000002,141.9575,False,False,Moderate_Negative,2097553.1,False
2003-01-07,TATAMOTORS,158.5,158.5,154.5,155.95,157.3,2197046,342396109.65,155.84,,-0.8582326764145091,160.0975,156.814,4.0,156.31666666666666,2.56492465533825,2003,1,1,Tuesday,False,159.57999999999998,142.15,False,False,Neutral,2012991.55,True
2003-01-08,TATAMOTORS,156.4,160.25,155.0,159.0,155.95,2671883,421307004.1,157.68,,1.9557550496954228,160.0125,157.338,5.25,158.08333333333334,3.30188679245283,2003,1,1,Wednesday,False,158.86999999999998,142.3285,False,False,Neutral,2017515.7,True
2003-01-09,TATAMOTORS,159.5,163.9,159.0,163.4,159.0,3584038,579488869.5,161.69,,2.76729559748428,160.3025,157.893,4.900000000000006,162.1,2.998776009791925,2003,1,1,Thursday,False,159.35999999999999,142.5155,False,False,Moderate_Positive,2112334.25,True
2003-01-10,TATAMOTORS,163.7,165.8,161.2,164.15,163.4,2564006,421522591.65,164.4,,0.4589963280293758,160.31,158.473,4.600000000000023,163.71666666666667,2.8023149558330935,2003,1,1,Friday,False,159.96,142.70675,False,False,Neutral,2090871.3,True
2003-01-13,TATAMOTORS,173.0,173.0,160.5,161.1,164.15,1574550,255932972.75,162.54,,-1.858056655498027,160.3125,158.8,12.5,164.86666666666667,7.759155803848541,2003,1,1,Monday,False,160.71999999999997,142.89525,False,False,Neutral,2037512.4,False
2003-01-14,TATAMOTORS,159.9,163.1,157.1,162.05,161.1,3223629,517026282.15,160.39,,0.5896958410924997,160.52749999999997,159.108,6.0,160.75,3.7025609379821045,2003,1,1,Tuesday,False,161.94,143.08025,False,False,Neutral,2056949.9,True
2003-01-15,TATAMOTORS,162.9,163.0,161.05,161.65,162.05,993719,160848350.25,161.87,,-0.2468373958654771,160.7,159.376,1.9499999999999886,161.9,1.206309928858638,2003,1,1,Wednesday,False,162.47,143.263,False,False,Neutral,1998291.15,False
2003-01-16,TATAMOTORS,161.65,163.45,161.15,161.6,161.65,1516572,245840992.1,162.1,,-0.0309310238168953,160.8425,159.683,2.299999999999983,162.0666666666667,1.4232673267326628,2003,1,1,Thursday,False,162.11,143.43075000000002,False,False,Neutral,2004427.5,False
2003-01-17,TATAMOTORS,161.45,166.8,161.45,166.35,161.6,3584465,591893389.05,165.13,,2.9393564356435644,161.1825,160.111,5.350000000000023,164.86666666666667,3.2161106101593164,2003,1,1,Friday,False,162.55,143.6245,False,False,Moderate_Positive,2112367.35,True
2003-01-20,TATAMOTORS,166.0,167.5,163.5,163.8,166.35,1792598,296160246.25,165.21,,-1.5329125338142369,161.45999999999998,160.508,4.0,164.93333333333334,2.442002442002442,2003,1,1,Monday,False,163.09,143.79425,False,False,Neutral,2129643.2,False
2003-01-21,TATAMOTORS,164.45,168.25,164.0,167.2,163.8,2418674,403254202.55,166.73,,2.0757020757020617,161.8025,160.986,4.25,166.48333333333332,2.5418660287081343,2003,1,1,Tuesday,False,164.12,143.9665,False,False,Moderate_Positive,2144910.55,True
2003-01-22,TATAMOTORS,169.7,169.7,164.1,165.05,167.2,1847070,305783307.7,165.55,,-1.2858851674641012,162.08499999999998,161.365,5.599999999999994,166.28333333333333,3.392911239018476,2003,1,1,Wednesday,False,164.8,144.12949999999998,False,False,Neutral,2068032.05,False
2003-01-23,TATAMOTORS,166.0,167.3,161.75,163.6,165.05,2662158,437224173.2,164.24,,-0.8785216601030094,162.1225,161.724,5.550000000000011,164.21666666666667,3.392420537897318,2003,1,1,Thursday,False,165.2,144.267,False,False,Neutral,2038228.95,True
2003-01-24,TATAMOTORS,164.0,164.0,157.05,158.65,163.6,1573577,250994849.9,159.51,,-3.025672371638135,161.9125,161.96300000000002,6.949999999999989,159.9,4.380712259691136,2003,1,1,Friday,False,163.66,144.38975,False,False,Moderate_Negative,1953996.8,False
2003-01-27,TATAMOTORS,157.9,157.9,152.25,154.1,158.65,1443501,223560398.45,154.87,,-2.867948313898526,161.55,161.9,5.650000000000006,154.75,3.6664503569111004,2003,1,1,Monday,False,161.72,144.49875,False,False,Moderate_Negative,1950406.2,False
2003-01-28,TATAMOTORS,153.5,156.2,149.0,152.65,154.1,3111126,470801023.85,151.33,,-0.9409474367293892,161.1125,161.781,7.199999999999989,152.61666666666667,4.716672125777915,2003,1,1,Tuesday,False,158.81,144.62075,False,False,Neutral,2040814.25,True
