Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50,Daily_Range,Avg_Price,Daily_Volatility_%,Year,Month,Quarter,Day_of_Week,Is_Weekend,MA_5,MA_200,Golden_Cross,Death_Cross,Return_Category,Volume_MA_20,High_Volume
2000-01-03,TATAMOTORS,207.4,217.25,207.4,216.75,201.6,676126,144877524.6,214.28,,7.514880952380955,212.925,224.808,9.849999999999994,213.79999999999998,4.544405997693192,2000,1,1,Monday,False,206.65,227.97325,False,False,Strong_Positive,710941.45,False
2000-01-04,TATAMOTORS,217.0,219.0,206.0,208.2,216.75,679215,142296186.95,209.5,,-3.944636678200697,211.9025,223.291,13.0,211.0666666666667,6.243996157540827,2000,1,1,Tuesday,False,207.26,228.20875,False,False,Moderate_Negative,704885.4,False
2000-01-05,TATAMOTORS,194.0,217.8,194.0,213.25,208.2,1120951,235768359.95,210.33,,2.4255523535062498,211.29250000000002,222.21099999999998,23.80000000000001,208.35,11.160609613130134,2000,1,1,Wednesday,False,209.28000000000003,228.4325,False,False,Moderate_Positive,705762.15,True
2000-01-06,TATAMOTORS,215.0,229.9,215.0,222.1,213.25,1968998,443593248.1,225.29,,4.150058616647125,211.36999999999998,221.475,14.900000000000006,222.33333333333334,6.708689779378661,2000,1,1,Thursday,False,212.38000000000002,228.71024999999997,False,False,Moderate_Positive,770384.65,True
2000-01-07,TATAMOTORS,224.0,239.9,223.1,239.9,222.1,2199431,519763617.65,236.32,,8.014407924358402,212.28250000000003,221.446,16.80000000000001,234.29999999999998,7.002917882451026,2000,1,1,Friday,False,220.04000000000002,229.1435,False,False,Strong_Positive,816356.25,True
2000-01-10,TATAMOTORS,259.0,259.1,248.0,258.85,239.9,1720542,442530257.6,257.2,,7.899124635264701,214.42,222.18200000000002,11.100000000000023,255.3166666666667,4.288197797952491,2000,1,1,Monday,False,228.45999999999998,229.69774999999998,False,False,Strong_Positive,878043.8,True
2000-01-11,TATAMOTORS,260.0,260.0,238.15,238.15,258.85,1207916,297908182.65,246.63,,-7.996909406992472,215.8675,222.414,21.849999999999994,245.4333333333333,9.174889775351666,2000,1,1,Tuesday,False,234.45,230.11599999999999,False,False,Strong_Negative,888137.2,True
2000-01-12,TATAMOTORS,240.0,246.0,229.0,240.25,238.15,938579,222564591.95,237.13,,0.8817971866470687,216.9925,222.84199999999998,17.0,238.41666666666666,7.075962539021852,2000,1,1,Wednesday,False,239.85,230.56724999999997,False,False,Neutral,907545.5,True
2000-01-13,TATAMOTORS,243.0,245.0,231.6,235.45,240.25,565754,134260925.9,237.31,,-1.9979188345473513,218.065,223.076,13.400000000000006,237.35,5.691229560416227,2000,1,1,Thursday,False,242.51999999999998,231.03850000000003,False,False,Neutral,916870.95,False
2000-01-14,TATAMOTORS,234.95,243.0,233.0,239.05,235.45,1024725,244950402.0,239.04,,1.5289870460819803,219.5275,223.18399999999997,10.0,238.35,4.18322526668061,2000,1,1,Friday,False,242.35,231.51625,False,False,Neutral,936247.55,True
2000-01-17,TATAMOTORS,242.95,258.1,242.95,250.65,239.05,1482994,374683366.05,252.65,,4.852541309349506,221.805,223.567,15.150000000000034,250.5666666666667,6.044284859365663,2000,1,1,Monday,False,240.70999999999998,232.06650000000002,False,False,Moderate_Positive,983591.8,True
2000-01-18,TATAMOTORS,251.0,252.5,245.05,248.0,250.65,792347,196866563.9,248.46,,-1.057251147017756,224.115,223.86,7.449999999999989,248.51666666666665,3.0040322580645116,2000,1,1,Tuesday,False,242.68,232.59900000000002,False,False,Neutral,988074.25,False
2000-01-19,TATAMOTORS,251.0,257.9,242.6,250.5,248.0,1221042,304660782.6,249.51,,1.0080645161290325,225.7475,224.14800000000002,15.299999999999983,250.33333333333334,6.107784431137718,2000,1,1,Wednesday,False,244.73000000000002,233.08724999999998,False,False,Neutral,980558.35,True
2000-01-20,TATAMOTORS,250.0,250.0,233.6,235.7,250.5,557949,135232304.65,242.37,,-5.908183632734536,226.575,224.22,16.400000000000006,239.76666666666665,6.957997454391178,2000,1,1,Thursday,False,244.78000000000003,233.55824999999996,False,False,Strong_Negative,958158.6,False
2000-01-21,TATAMOTORS,230.1,233.8,225.5,232.2,235.7,696339,160219821.35,230.09,,-1.484938481120068,227.53249999999997,224.267,8.300000000000011,230.5,3.57450473729544,2000,1,1,Friday,False,243.41,233.984,False,False,Neutral,955439.65,False
2000-01-24,TATAMOTORS,230.0,235.9,213.65,213.65,232.2,1125168,251407813.85,223.44,,-7.988802756244611,227.95750000000004,223.995,22.25,221.0666666666667,10.414228879007723,2000,1,1,Monday,False,236.01,234.332,False,False,Strong_Negative,987789.45,True
