Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50,Daily_Range,Avg_Price,Daily_Volatility_%,Year,Month,Quarter,Day_of_Week,Is_Weekend,MA_5,MA_200,Golden_Cross,Death_Cross,Return_Category,Volume_MA_20,High_Volume
1998-01-01,TATAMOTORS,297.9,303.0,296.5,300.25,297.75,708550,212582725.0,300.03,,0.8396305625524769,281.97,305.927,6.5,299.9166666666667,2.164862614487927,1998,1,1,Thursday,False,294.0400000000001,364.12100000000004,False,False,Neutral,1056502.5,False
1998-01-02,TATAMOTORS,301.5,308.4,300.5,306.15,300.25,1524050,465799710.0,305.63,,1.965029142381341,282.815,305.428,7.899999999999977,305.01666666666665,2.580434427568178,1998,1,1,Friday,False,300.05,363.75175,False,False,Neutral,1090930.0,True
1998-01-05,TATAMOTORS,308.8,309.0,296.5,298.65,306.15,1451800,439245387.5,302.55,,-2.449779519843214,283.71750000000003,304.718,12.5,301.3833333333333,4.185501423070484,1998,1,1,Monday,False,299.66,363.31075,False,False,Moderate_Negative,1111005.0,True
1998-01-06,TATAMOTORS,295.5,299.65,291.3,292.75,298.65,1339300,395027140.0,294.95,,-1.975556671689261,284.3275,303.914,8.349999999999966,294.56666666666666,2.8522630230572044,1998,1,1,Tuesday,False,299.11,362.8185,False,False,Neutral,1147627.5,True
1998-01-07,TATAMOTORS,295.55,297.9,289.55,293.15,292.75,850800,249253450.0,292.96,,0.1366353543979427,285.3525,303.27,8.349999999999966,293.53333333333336,2.8483711410540566,1998,1,1,Wednesday,False,298.19,362.334,False,False,Neutral,1152570.0,False
1998-01-08,TATAMOTORS,290.55,294.0,287.1,288.55,293.15,877000,254532732.5,290.23,,-1.5691625447722894,286.9225,302.987,6.899999999999977,289.8833333333334,2.391266678218672,1998,1,1,Thursday,False,295.84999999999997,361.835,False,False,Neutral,1140415.0,False
1998-01-09,TATAMOTORS,287.3,287.3,280.4,282.0,288.55,841200,238346367.5,283.34,,-2.2699705423670116,287.78499999999997,302.1,6.900000000000034,283.23333333333335,2.44680851063831,1998,1,1,Friday,False,291.02,361.35075000000006,False,False,Moderate_Negative,1103850.0,False
1998-01-12,TATAMOTORS,279.6,279.6,269.05,271.0,282.0,765900,209264177.5,273.23,,-3.900709219858156,287.9,301.142,10.550000000000011,273.2166666666667,3.8929889298893032,1998,1,1,Monday,False,285.48999999999995,360.83575,False,False,Moderate_Negative,1094045.0,False
1998-01-13,TATAMOTORS,268.5,279.45,268.3,273.9,271.0,830200,228954410.0,275.78,,1.0701107011070026,287.79499999999996,300.07399999999996,11.149999999999977,273.8833333333333,4.070828769623942,1998,1,1,Tuesday,False,281.71999999999997,360.30125,False,False,Neutral,1078100.0,False
1998-01-14,TATAMOTORS,289.0,289.0,254.35,256.05,273.9,2197150,576425710.0,262.35,,-6.516976998904697,286.1375,298.39,34.650000000000006,266.4666666666667,13.532513181019334,1998,1,1,Wednesday,False,274.3,359.66425000000004,False,False,Strong_Negative,1127482.5,True
1998-01-15,TATAMOTORS,253.35,253.5,239.6,244.1,256.05,3219750,789421910.0,245.18,,-4.667057215387626,284.08000000000004,296.591,13.900000000000006,245.73333333333335,5.694387546087672,1998,1,1,Thursday,False,265.40999999999997,358.92474999999996,False,False,Moderate_Negative,1259517.5,True
1998-01-16,TATAMOTORS,245.55,254.5,243.5,250.7,244.1,2332700,584741985.0,250.67,,2.7038099139696823,282.59250000000003,294.921,11.0,249.5666666666667,4.387714399680894,1998,1,1,Friday,False,259.15,358.22625,False,False,Moderate_Positive,1350830.0,True
1998-01-19,TATAMOTORS,248.55,255.2,246.0,253.8,250.7,1728800,432893765.0,250.4,,1.2365376944555335,281.01000000000005,293.233,9.199999999999989,251.66666666666666,3.6249014972419182,1998,1,1,Monday,False,255.70999999999998,357.56049999999993,False,False,Neutral,1414452.5,True
