Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50,Daily_Range,Avg_Price,Daily_Volatility_%,Year,Month,Quarter,Day_of_Week,Is_Weekend,MA_5,MA_200,Golden_Cross,Death_Cross,Return_Category,Volume_MA_20,High_Volume
2021-01-01,TATAMOTORS,184.95,187.0,184.5,186.5,183.85,27334421,5075365028.55,185.68,110094.0,1.4413924394887168,179.44750000000002,163.541,2.5,186.0,1.3404825737265416,2021,1,1,Friday,False,184.85999999999999,121.89125,False,False,Neutral,52402638.4,False
2021-01-04,TATAMOTORS,191.8,193.0,188.75,191.3,186.5,63980597,12228765285.55,191.13,253278.0,2.573726541554966,179.805,164.697,4.25,191.01666666666665,2.22164140094093,2021,1,1,Monday,False,185.85,122.51674999999999,False,False,Moderate_Positive,53201886.3,True
2021-01-05,TATAMOTORS,187.1,193.9,185.05,193.2,191.3,75752593,14313931037.85,188.96,299902.0,0.9932043910088746,180.2875,165.82100000000003,8.849999999999994,190.7166666666667,4.580745341614905,2021,1,1,Tuesday,False,187.8,123.14,False,False,Neutral,55499392.35,True
2021-01-06,TATAMOTORS,194.45,197.6,190.65,195.4,193.2,75621947,14732365582.35,194.82,302100.0,1.1387163561076694,180.9675,167.055,6.949999999999989,194.54999999999998,3.556806550665296,2021,1,1,Wednesday,False,190.05,123.76575000000001,False,False,Neutral,57173320.15,True
2021-01-07,TATAMOTORS,197.0,200.35,195.1,196.75,195.4,66024848,13073913349.5,198.02,232249.0,0.6908904810644801,181.67,168.27700000000002,5.25,197.4,2.6683608640406606,2021,1,1,Thursday,False,192.63000000000002,124.39550000000001,False,False,Neutral,58459535.8,True
2021-01-08,TATAMOTORS,198.75,201.5,197.1,198.15,196.75,53991568,10768126835.9,199.44,191216.0,0.7115628970775124,182.6975,169.544,4.400000000000006,198.91666666666666,2.220539994953321,2021,1,1,Friday,False,194.96,125.03275,False,False,Neutral,59240675.35,False
2021-01-11,TATAMOTORS,199.9,225.4,199.65,220.65,198.15,182483100,38585523226.8,211.45,635889.0,11.355034065102194,184.7875,171.319,25.75,215.23333333333335,11.670065714933152,2021,1,1,Monday,False,200.82999999999998,125.79525,False,False,Strong_Positive,66211553.25,True
2021-01-12,TATAMOTORS,227.0,252.4,224.1,237.8,220.65,390577839,93029495460.45,238.18,1303825.0,7.772490369363247,187.79500000000002,173.422,28.30000000000001,238.1,11.900756938603873,2021,1,1,Tuesday,False,209.75,126.62899999999999,False,False,Strong_Positive,84081131.55,True
2021-01-13,TATAMOTORS,242.9,248.8,238.4,242.6,237.8,164649387,40084035851.5,243.45,612651.0,2.0185029436501187,190.98,175.61699999999996,10.400000000000006,243.26666666666668,4.286892003297612,2021,1,1,Wednesday,False,219.19,127.50225,False,False,Moderate_Positive,90254083.85,True
2021-01-14,TATAMOTORS,242.85,249.8,238.6,245.1,242.6,86819519,21202397636.6,244.21,379083.0,1.030502885408079,194.10750000000002,177.83700000000002,11.200000000000017,244.5,4.569563443492459,2021,1,1,Thursday,False,228.85999999999999,128.40125,False,False,Neutral,92032090.1,False
2021-01-15,TATAMOTORS,246.0,264.65,242.6,260.3,245.1,250038029,63879688196.45,255.48,907714.0,6.201550387596906,198.0375,180.325,22.049999999999983,255.85,8.470995005762575,2021,1,1,Friday,False,241.29000000000002,129.3665,False,False,Strong_Positive,102828893.85,True
