Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50,Daily_Range,Avg_Price,Daily_Volatility_%,Year,Month,Quarter,Day_of_Week,Is_Weekend,MA_5,MA_200,Golden_Cross,Death_Cross,Return_Category,Volume_MA_20,High_Volume
2001-01-01,TATAMOTORS,88.45,90.65,87.05,89.05,88.1,1113230,99675569.85,89.54,,1.0783200908059056,91.92750000000001,85.47200000000001,3.6000000000000085,88.91666666666667,4.0426726558113515,2001,1,1,Monday,False,86.46,105.925,False,False,Neutral,1995336.4,False
2001-01-02,TATAMOTORS,89.0,94.0,88.95,93.75,89.05,2006406,184857827.4,92.13,,5.277933745087033,92.09,85.91300000000001,5.049999999999997,92.23333333333333,5.386666666666664,2001,1,1,Tuesday,False,88.50999999999999,105.7175,False,False,Strong_Positive,2017532.15,False
2001-01-03,TATAMOTORS,94.0,103.5,94.0,101.65,93.75,6916231,692897488.15,100.18,,8.426666666666673,92.59,86.494,9.5,99.71666666666665,9.345794392523365,2001,1,1,Wednesday,False,91.88,105.54899999999999,False,False,Strong_Positive,2245560.45,True
2001-01-04,TATAMOTORS,101.95,107.8,98.0,105.25,101.65,7870042,818316131.45,103.98,,3.5415641908509534,92.99749999999999,87.161,9.799999999999997,103.68333333333334,9.311163895486933,2001,1,1,Thursday,False,95.56,105.40775,False,False,Moderate_Positive,2362067.3,True
2001-01-05,TATAMOTORS,106.0,107.25,102.55,103.55,105.25,5899345,621040152.55,105.27,,-1.6152019002375322,93.1925,87.81800000000001,4.700000000000003,104.45,4.538870111057463,2001,1,1,Friday,False,98.65,105.251,False,False,Neutral,2387505.85,True
2001-01-08,TATAMOTORS,103.0,104.9,99.05,101.25,103.55,2432482,249519991.2,102.58,,-2.2211492032834355,93.255,88.44,5.8500000000000085,101.73333333333333,5.777777777777787,2001,1,1,Monday,False,101.09,105.1235,False,False,Moderate_Negative,2393985.45,True
2001-01-09,TATAMOTORS,101.8,103.9,98.5,99.05,101.25,2621640,264390896.05,100.85,,-2.172839506172842,93.33250000000001,88.944,5.400000000000006,100.48333333333333,5.451792024230192,2001,1,1,Tuesday,False,102.15,104.93725,False,False,Moderate_Negative,2400638.95,True
2001-01-10,TATAMOTORS,99.1,100.0,91.15,93.65,99.05,4031442,383563860.95,95.14,,-5.451792024230178,93.1,89.27,8.849999999999994,94.93333333333334,9.450080085424446,2001,1,1,Wednesday,False,100.55,104.692,False,False,Strong_Negative,2553044.65,True
2001-01-11,TATAMOTORS,93.65,95.1,92.5,93.75,93.65,2086895,195689134.95,93.77,,0.1067805659369934,92.92999999999999,89.415,2.5999999999999943,93.78333333333335,2.773333333333327,2001,1,1,Thursday,False,98.25,104.50425,False,False,Neutral,2504701.95,False
2001-01-12,TATAMOTORS,94.25,94.95,90.5,91.9,93.75,2144291,199515446.0,93.04,,-1.9733333333333272,92.96000000000001,89.47599999999998,4.450000000000003,92.45,4.842219804134932,2001,1,1,Friday,False,95.92,104.296,False,False,Neutral,2515338.0,False
