Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50,Daily_Range,Avg_Price,Daily_Volatility_%,Year,Month,Quarter,Day_of_Week,Is_Weekend,MA_5,MA_200,Golden_Cross,Death_Cross,Return_Category,Volume_MA_20,High_Volume
2002-01-01,TATAMOTORS,103.0,103.0,99.6,100.75,99.85,253972,25661869.85,101.04,,0.9013520280420688,101.50999999999999,94.93700000000001,3.4000000000000057,101.11666666666667,3.3746898263027356,2002,1,1,Tuesday,False,97.24,77.51325000000001,False,False,Neutral,477593.45,False
2002-01-02,TATAMOTORS,100.0,100.4,98.25,99.2,100.75,356596,35533420.35,99.65,,-1.5384615384615357,100.9425,95.40700000000001,2.1500000000000057,99.28333333333335,2.1673387096774253,2002,1,1,Wednesday,False,98.16999999999999,77.64349999999999,False,False,Neutral,451985.4,False
2002-01-03,TATAMOTORS,101.0,102.3,100.0,100.55,99.2,405724,40958028.4,100.95,,1.3608870967741875,100.58,95.88300000000001,2.299999999999997,100.95,2.287419194430629,2002,1,1,Thursday,False,99.36999999999999,77.7765,False,False,Neutral,431634.75,False
2002-01-04,TATAMOTORS,101.0,103.2,100.3,101.25,100.55,275185,27975733.7,101.66,,0.6961710591745429,100.25,96.21900000000001,2.9000000000000057,101.58333333333333,2.864197530864203,2002,1,1,Friday,False,100.32000000000001,77.92975,False,False,Neutral,405257.35,False
2002-01-07,TATAMOTORS,102.8,104.5,98.6,99.65,101.25,613811,62362002.2,101.6,,-1.5802469135802415,100.125,96.478,5.900000000000006,100.91666666666667,5.920722528850984,2002,1,1,Monday,False,100.28,78.075,False,False,Neutral,403093.65,True
2002-01-08,TATAMOTORS,101.0,101.0,98.05,99.55,99.65,450799,44836719.65,99.46,,-0.1003512293025675,99.97749999999999,96.858,2.950000000000003,99.53333333333335,2.9633350075339053,2002,1,1,Tuesday,False,100.03999999999999,78.23175,False,False,Neutral,395813.35,True
2002-01-09,TATAMOTORS,100.6,103.0,99.55,101.5,99.55,558510,56680578.45,101.49,,1.9588146659969892,99.7825,97.245,3.450000000000003,101.35000000000001,3.399014778325126,2002,1,1,Wednesday,False,100.5,78.40325,False,False,Neutral,388773.55,True
2002-01-10,TATAMOTORS,101.95,107.85,101.95,106.65,101.5,997663,104508874.55,104.75,,5.07389162561577,99.8075,97.72399999999999,5.8999999999999915,105.48333333333335,5.532114392873878,2002,1,1,Thursday,False,101.72,78.592,False,False,Strong_Positive,413953.0,True
2002-01-11,TATAMOTORS,108.7,114.2,107.05,111.5,106.65,2369538,262471611.25,110.77,,4.547585560243783,100.3075,98.354,7.150000000000006,110.91666666666667,6.412556053811665,2002,1,1,Friday,False,103.77000000000001,78.79974999999999,False,False,Moderate_Positive,506471.9,True
2002-01-14,TATAMOTORS,114.0,118.7,113.8,117.25,111.5,1691959,196561218.25,116.17,,5.15695067264574,100.975,99.00299999999999,4.900000000000006,116.58333333333333,4.179104477611945,2002,1,1,Monday,False,107.29,79.03925,False,False,Strong_Positive,562576.8,True
2002-01-15,TATAMOTORS,117.5,118.25,112.5,115.95,117.25,1477785,170981805.3,115.7,,-1.1087420042643898,101.44500000000001,99.648,5.75,115.56666666666666,4.959034066407934,2002,1,1,Tuesday,False,110.57000000000001,79.2925,False,False,Neutral,597900.35,True
2002-01-16,TATAMOTORS,117.75,127.55,113.65,124.4,115.95,2999043,361161990.7,120.43,,7.287623975851662,102.59,100.47300000000001,13.899999999999991,121.86666666666667,11.173633440514461,2002,1,1,Wednesday,False,115.15,79.6095,False,False,Strong_Positive,732814.0,True
2002-01-17,TATAMOTORS,126.0,134.65,121.6,130.7,124.4,4174824,529132102.5,126.74,,5.064308681672012,104.205,101.471,13.050000000000011,128.98333333333332,9.984697781178282,2002,1,1,Thursday,False,119.96,79.96900000000001,False,False,Strong_Positive,913363.45,True
2002-01-18,TATAMOTORS,134.9,134.9,123.05,127.2,130.7,1720382,218705552.4,127.13,,-2.6778882938025905,105.68999999999998,102.35199999999999,11.850000000000009,128.38333333333333,9.316037735849063,2002,1,1,Friday,False,123.1,80.29674999999999,False,False,Moderate_Negative,989019.65,True
2002-01-21,TATAMOTORS,124.55,125.3,115.6,116.6,127.2,2102217,251001704.9,119.4,,-8.33333333333334,106.7275,103.01899999999999,9.700000000000003,119.16666666666667,8.319039451114927,2002,1,1,Monday,False,122.97,80.558,False,False,Strong_Negative,1086395.6,True
2002-01-22,TATAMOTORS,116.35,124.2,116.35,120.7,116.6,2338782,284053149.5,121.45,,3.5162950257289953,107.9425,103.695,7.8500000000000085,120.41666666666667,6.503728251864133,2002,1,1,Tuesday,False,123.92,80.83175,False,False,Moderate_Positive,1190564.15,True
2002-01-23,TATAMOTORS,122.0,126.65,121.15,124.1,120.7,2647178,330017399.2,124.67,,2.816901408450697,109.42,104.35,5.5,123.96666666666665,4.43190975020145,2002,1,1,Wednesday,False,123.85999999999999,81.1315,False,False,Moderate_Positive,1311538.25,True
2002-01-24,TATAMOTORS,123.0,124.0,118.25,121.4,124.1,1537717,185373804.9,120.55,,-2.175664786462521,110.7625,104.994,5.75,121.21666666666665,4.736408566721581,2002,1,1,Thursday,False,122.0,81.422,False,False,Moderate_Negative,1377039.3,True
2002-01-25,TATAMOTORS,122.9,122.9,119.05,121.7,121.4,610807,73680467.75,120.63,,0.2471169686985149,112.0225,105.634,3.8500000000000085,121.21666666666665,3.1635168447000894,2002,1,1,Friday,False,120.9,81.71525,False,False,Neutral,1395590.55,False
2002-01-28,TATAMOTORS,120.0,120.0,115.5,116.85,121.7,820952,96521865.5,117.57,,-3.985209531635175,112.87250000000002,106.09300000000002,4.5,117.45,3.8510911424903727,2002,1,1,Monday,False,120.95,81.98450000000001,False,False,Moderate_Negative,1420172.2,False
2002-01-29,TATAMOTORS,116.85,120.0,116.2,119.3,116.85,811002,96496016.55,118.98,,2.096705177578094,113.8,106.595,3.799999999999997,118.5,3.185247275775354,2002,1,1,Tuesday,False,120.66999999999999,82.25225,False,False,Moderate_Positive,1448023.7,False
2002-01-30,TATAMOTORS,119.25,122.75,117.65,120.5,119.3,1612524,195264953.7,121.09,,1.0058675607711676,114.86499999999998,106.98200000000001,5.099999999999994,120.3,4.232365145228211,2002,1,1,Wednesday,False,119.95,82.50925,False,False,Neutral,1510820.1,True
2002-01-31,TATAMOTORS,122.05,125.7,121.6,125.05,120.5,1546490,191334661.5,123.72,,3.775933609958504,116.09,107.50099999999999,4.1000000000000085,124.11666666666667,3.278688524590171,2002,1,1,Thursday,False,120.67999999999999,82.789,False,False,Moderate_Positive,1567858.4,False
2002-02-01,TATAMOTORS,125.5,129.5,123.7,126.4,125.05,1563412,198344594.1,126.87,,1.0795681727309143,117.34750000000001,108.00300000000001,5.799999999999997,126.53333333333335,4.588607594936707,2002,2,1,Friday,False,121.62,83.08725,False,False,Neutral,1632269.75,False
2002-02-04,TATAMOTORS,127.0,129.9,126.25,127.5,126.4,1087258,139172090.0,128.0,,0.8702531645569574,118.74000000000001,108.479,3.6500000000000057,127.88333333333333,2.86274509803922,2002,2,1,Monday,False,123.75,83.38175,False,False,Neutral,1655942.1,False
2002-02-05,TATAMOTORS,125.25,127.0,123.25,124.25,127.5,541256,67757826.65,125.19,,-2.549019607843137,119.975,108.9,3.75,124.83333333333333,3.0181086519114686,2002,2,1,Tuesday,False,124.74000000000001,83.641,False,False,Moderate_Negative,1660464.95,False
2002-02-06,TATAMOTORS,125.8,136.7,121.7,135.1,124.25,3996861,529167315.55,132.4,,8.732394366197179,121.655,109.568,14.999999999999986,131.16666666666666,11.102886750555134,2002,2,1,Wednesday,False,127.66,83.94599999999998,False,False,Strong_Positive,1832382.5,True
2002-02-07,TATAMOTORS,136.0,143.2,133.2,139.1,135.1,3730931,518363696.4,138.94,,2.9607698001480385,123.2775,110.351,10.0,138.5,7.189072609633358,2002,2,1,Thursday,False,130.47,84.26575000000001,False,False,Moderate_Positive,1969045.9,True
2002-02-08,TATAMOTORS,139.9,140.5,134.35,135.2,139.1,1509205,207960554.5,137.79,,-2.8037383177570137,124.4625,111.00699999999999,6.150000000000006,136.68333333333334,4.548816568047342,2002,2,1,Friday,False,132.23,84.58275000000002,False,False,Moderate_Negative,1926029.25,False
2002-02-11,TATAMOTORS,140.8,148.5,137.5,146.85,135.2,3114215,446248684.7,143.29,,8.616863905325449,125.94250000000002,111.85600000000001,11.0,144.28333333333333,7.490636704119851,2002,2,1,Monday,False,136.1,84.939,False,False,Strong_Positive,1997142.05,True
2002-02-12,TATAMOTORS,149.0,153.5,142.65,145.15,146.85,5823469,865444105.6,148.61,,-1.15764385427306,127.40249999999999,112.626,10.849999999999994,147.1,7.475025835342744,2002,2,1,Tuesday,False,140.28,85.291,False,False,Neutral,2214426.25,True
2002-02-13,TATAMOTORS,140.0,145.4,140.0,140.9,145.15,1774806,253393291.2,142.77,,-2.9280055115397863,128.2275,113.233,5.400000000000006,142.1,3.8325053229240638,2002,2,1,Wednesday,False,141.44,85.631,False,False,Moderate_Negative,2153214.4,False
2002-02-14,TATAMOTORS,143.9,146.5,142.1,142.65,140.9,2024734,291899275.2,144.17,,1.2420156139105747,128.825,113.93,4.400000000000006,143.75,3.084472485103404,2002,2,1,Thursday,False,142.15,85.97175000000001,False,False,Neutral,2045709.9,False
2002-02-15,TATAMOTORS,144.5,144.9,138.1,139.0,142.65,2465127,347647851.3,141.03,,-2.558710129688051,129.41500000000002,114.553,6.800000000000011,140.66666666666666,4.8920863309352605,2002,2,1,Friday,False,142.91,86.29950000000001,False,False,Moderate_Negative,2082947.15,True
2002-02-18,TATAMOTORS,139.1,141.9,136.85,138.05,139.0,723570,100235231.45,138.53,,-0.6834532374100638,130.4875,115.271,5.050000000000011,138.93333333333334,3.658094893154662,2002,2,1,Monday,False,141.15000000000003,86.6155,False,False,Neutral,2014014.8,False
2002-02-19,TATAMOTORS,139.8,142.35,136.05,136.75,138.05,1690771,236174489.35,139.68,,-0.941687794277444,131.29000000000002,115.956,6.299999999999983,138.38333333333333,4.606946983546605,2002,2,1,Tuesday,False,139.47,86.91799999999999,False,False,Neutral,1981614.25,False
2002-02-20,TATAMOTORS,144.8,144.8,135.0,137.05,136.75,867211,119182622.4,137.43,,0.2193784277879425,131.9375,116.58900000000001,9.800000000000011,138.95000000000002,7.1506749361546955,2002,2,1,Wednesday,False,138.7,87.21674999999999,False,False,Neutral,1892615.9,False
2002-02-21,TATAMOTORS,138.0,141.95,137.1,137.75,137.05,1561003,218258476.35,139.82,,0.5107624954396123,132.755,117.221,4.849999999999994,138.9333333333333,3.5208711433756763,2002,2,1,Thursday,False,137.72,87.529,False,False,Neutral,1893780.2,False
2002-02-22,TATAMOTORS,136.25,139.9,135.2,136.9,137.75,578364,79343546.05,137.19,,-0.6170598911070739,133.51500000000001,117.929,4.700000000000017,137.33333333333334,3.4331628926223643,2002,2,1,Friday,False,137.3,87.83850000000001,False,False,Neutral,1892158.05,False
2002-02-25,TATAMOTORS,136.0,144.5,136.0,141.25,136.9,2073873,294610061.15,142.06,,3.17750182615047,134.73499999999999,118.676,8.5,140.58333333333334,6.017699115044247,2002,2,1,Monday,False,137.94,88.17399999999999,False,False,Moderate_Positive,1954804.1,True
2002-02-26,TATAMOTORS,143.2,147.85,142.15,146.85,141.25,2510951,365042660.55,145.38,,3.9646017699115,136.1125,119.48200000000001,5.699999999999989,145.61666666666667,3.8815117466802787,2002,2,1,Tuesday,False,139.95999999999998,88.5125,False,False,Moderate_Positive,2039801.55,True
2002-02-27,TATAMOTORS,147.95,148.85,141.5,143.45,146.85,1592704,229706990.85,144.22,,-2.315287708546139,137.26000000000002,120.321,7.349999999999994,144.6,5.123736493551757,2002,2,1,Wednesday,False,141.24,88.81649999999999,False,False,Moderate_Negative,2038810.55,False
2002-02-28,TATAMOTORS,144.0,145.9,135.0,141.4,143.45,2541804,358534663.25,141.06,,-1.4290693621470778,138.0775,121.181,10.900000000000006,140.76666666666665,7.708628005657713,2002,2,1,Thursday,False,141.97,89.11050000000002,False,False,Neutral,2088576.25,True
2002-03-01,TATAMOTORS,141.0,144.85,136.55,143.7,141.4,1298249,183343685.95,141.22,,1.6265912305516144,138.9425,122.105,8.299999999999983,141.7,5.775922059846892,2002,3,1,Friday,False,143.33,89.41775,False,False,Neutral,2075318.1,False
2002-03-04,TATAMOTORS,147.9,147.9,138.3,139.05,143.7,581035,81821846.15,140.82,,-3.235908141962406,139.51999999999998,122.969,9.599999999999994,141.75000000000003,6.9039913700107824,2002,3,1,Monday,False,142.89000000000001,89.70775000000002,False,False,Moderate_Negative,2050006.95,False
2002-03-05,TATAMOTORS,138.0,144.4,130.1,131.35,139.05,1743162,234697013.0,134.64,,-5.5375764113628305,139.875,123.668,14.300000000000011,135.28333333333333,10.886943281309486,2002,3,1,Tuesday,False,139.79000000000002,89.961,False,False,Strong_Negative,2110102.25,False
2002-03-06,TATAMOTORS,132.5,134.3,125.05,126.2,131.35,2886197,371302634.7,128.65,,-3.920822230681379,139.43,124.301,9.250000000000014,128.51666666666668,7.329635499207618,2002,3,1,Wednesday,False,136.33999999999997,90.186,False,False,Moderate_Negative,2054569.05,True
2002-03-07,TATAMOTORS,127.5,131.4,127.5,129.45,126.2,1752568,227247121.0,129.67,,2.575277337559418,138.9475,124.999,3.9000000000000057,129.45,3.0127462340672118,2002,3,1,Thursday,False,133.95,90.43900000000002,False,False,Moderate_Positive,1955650.9,False
2002-03-08,TATAMOTORS,130.5,134.8,130.5,133.45,129.45,1485270,198020635.3,133.32,,3.0899961375048286,138.86,125.738,4.300000000000011,132.91666666666666,3.2221805919820246,2002,3,1,Friday,False,131.9,90.70474999999999,False,False,Moderate_Positive,1954454.15,False
2002-03-11,TATAMOTORS,135.4,137.5,133.65,134.8,133.45,1253096,170234239.45,135.85,,1.0116148370176266,138.2575,126.43699999999998,3.8499999999999943,135.31666666666666,2.856083086053408,2002,3,1,Monday,False,131.05,90.95925000000001,False,False,Neutral,1861398.2,False
2002-03-12,TATAMOTORS,135.4,135.55,128.65,129.75,134.8,608835,80114570.8,131.59,,-3.746290801186952,137.4875,127.017,6.900000000000006,131.3166666666667,5.317919075144513,2002,3,1,Tuesday,False,130.73,91.185,False,False,Moderate_Negative,1600666.5,False
2002-03-13,TATAMOTORS,127.0,132.1,127.0,130.35,129.75,564254,73647062.5,130.52,,0.4624277456647355,136.96,127.64,5.099999999999994,129.8166666666667,3.9125431530494783,2002,3,1,Wednesday,False,131.56,91.4255,False,False,Neutral,1540138.9,False
2002-03-14,TATAMOTORS,130.45,132.45,127.8,128.75,130.35,365366,47229627.5,129.27,,-1.2274645186037547,136.26500000000001,128.204,4.6499999999999915,129.66666666666666,3.6116504854368867,2002,3,1,Thursday,False,131.42000000000002,91.666,False,False,Neutral,1457170.5,False
2002-03-15,TATAMOTORS,129.8,132.0,128.0,130.05,128.75,850147,110983716.4,130.55,,1.0097087378640863,135.8175,128.78,4.0,130.01666666666668,3.075740099961553,2002,3,1,Friday,False,130.74,91.92025,False,False,Neutral,1376421.5,False
2002-03-18,TATAMOTORS,130.8,143.0,130.25,136.4,130.05,1224698,165218545.9,134.91,,4.882737408688961,135.73499999999999,129.515,12.75,136.54999999999998,9.3475073313783,2002,3,1,Monday,False,131.06,92.21,False,False,Moderate_Positive,1401477.9,False
2002-03-19,TATAMOTORS,137.2,138.0,130.25,131.15,136.4,540882,71987471.3,133.09,,-3.8489736070381233,135.45499999999998,130.147,7.75,133.13333333333333,5.909264201296225,2002,3,1,Tuesday,False,131.34,92.48074999999999,False,False,Moderate_Negative,1343983.45,False
