Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50,Daily_Range,Avg_Price,Daily_Volatility_%,Year,Month,Quarter,Day_of_Week,Is_Weekend,MA_5,MA_200,Golden_Cross,Death_Cross,Return_Category,Volume_MA_20,High_Volume
2024-01-01,TATAMOTORS,785.0,798.7,781.05,790.6,779.95,12570717,9955454953.9,791.96,280616.0,1.3654721456503591,730.045,689.93,17.65000000000009,790.1166666666667,2.2324816594991264,2024,1,1,Monday,False,761.25,596.4,False,False,Neutral,11103083.65,True
2024-01-02,TATAMOTORS,800.5,804.0,779.0,784.4,790.6,13791090,10865894988.45,787.89,292570.0,-0.7842145206172584,733.8175,692.671,25.0,789.1333333333333,3.1871494135645078,2024,1,1,Tuesday,False,769.95,598.2270000000001,False,False,Neutral,11312562.7,True
2024-01-03,TATAMOTORS,786.05,790.0,776.25,781.45,784.4,8559060,6693735336.4,782.06,235425.0,-0.3760836308006032,736.7675,695.543,13.75,782.5666666666666,1.7595495553138396,2024,1,1,Wednesday,False,778.0600000000001,600.0805,False,False,Neutral,11133074.45,False
2024-01-04,TATAMOTORS,798.0,801.8,791.3,795.75,781.45,14298444,11382414604.35,796.06,311507.0,1.8299315375263872,740.4575,698.927,10.5,796.2833333333333,1.3195098963242224,2024,1,1,Thursday,False,786.4300000000001,601.9965,False,False,Neutral,11325406.6,True
2024-01-05,TATAMOTORS,799.0,805.9,787.1,790.95,795.75,11091198,8817915485.35,795.04,267335.0,-0.6032045240339245,744.2774999999999,701.925,18.799999999999955,794.65,2.3768885517415708,2024,1,1,Friday,False,788.63,603.8707499999999,False,False,Neutral,11452106.35,False
2024-01-08,TATAMOTORS,798.4,800.35,787.5,789.1,790.95,7668471,6081779068.55,793.09,226261.0,-0.2338959479107431,747.6925,705.1370000000002,12.850000000000023,792.3166666666666,1.6284374603979246,2024,1,1,Monday,False,788.3300000000002,605.73575,False,False,Neutral,11515369.45,False
2024-01-09,TATAMOTORS,799.95,809.2,793.15,799.8,789.1,12872757,10324952552.85,802.08,264264.0,1.3559751615764708,751.9125,708.56,16.050000000000068,800.7166666666666,2.006751687921989,2024,1,1,Tuesday,False,791.4100000000001,607.639,False,False,Neutral,11835930.35,True
2024-01-10,TATAMOTORS,800.0,811.0,792.65,808.45,799.8,9980044,8017707344.25,803.37,182023.0,1.0815203800950353,756.3199999999999,712.175,18.350000000000023,804.0333333333334,2.2697754963201215,2024,1,1,Wednesday,False,796.8100000000001,609.59875,False,False,Neutral,12044545.75,False
2024-01-11,TATAMOTORS,813.5,817.5,808.45,815.65,808.45,11075167,9010980254.8,813.62,266604.0,0.8905931102727357,761.115,715.7589999999999,9.049999999999955,813.8666666666667,1.1095445350334032,2024,1,1,Thursday,False,800.79,611.6167499999999,False,False,Neutral,12261686.5,False
2024-01-12,TATAMOTORS,818.15,818.55,809.15,816.45,815.65,7664094,6247447301.25,815.16,153071.0,0.09808128486484,765.3175,719.138,9.399999999999977,814.7166666666666,1.1513258619633753,2024,1,1,Friday,False,805.8900000000001,613.691,False,False,Neutral,12040787.25,False
