Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,VWAP,Trades,Daily_Return_%,MA_20,MA_50,Daily_Range,Avg_Price,Daily_Volatility_%,Year,Month,Quarter,Day_of_Week,Is_Weekend,MA_5,MA_200,Golden_Cross,Death_Cross,Return_Category,Volume_MA_20,High_Volume
2004-01-01,TATAMOTORS,453.25,457.9,451.5,454.45,452.05,2077604,945751336.65,455.21,,0.5309147218228022,430.11,402.78700000000003,6.399999999999977,454.6166666666666,1.4082957421058373,2004,1,1,Thursday,False,447.06000000000006,271.683,False,False,Neutral,3396394.6,False
2004-01-02,TATAMOTORS,458.0,460.35,454.05,456.4,454.45,1704790,779588313.9,457.29,,0.4290901089228712,431.6825,404.249,6.300000000000011,456.9333333333334,1.380368098159512,2004,1,1,Friday,False,450.62,273.16974999999996,False,False,Neutral,3328862.7,False
2004-01-05,TATAMOTORS,458.0,465.0,450.6,454.85,456.4,2141245,976784546.8,456.18,,-0.3396143733566947,433.6925,406.01800000000003,14.399999999999977,456.81666666666666,3.1658788611630158,2004,1,1,Monday,False,452.03000000000003,274.6585,False,False,Neutral,3220320.4,False
2004-01-06,TATAMOTORS,460.0,465.0,448.5,454.45,454.85,2360145,1085056807.55,459.74,,-0.087941079476758,435.6375,407.856,16.5,455.98333333333335,3.6307624601166246,2004,1,1,Tuesday,False,454.43999999999994,276.1525,False,False,Neutral,3118310.1,False
2004-01-07,TATAMOTORS,451.4,454.7,438.1,446.45,454.45,3766229,1670704108.15,443.6,,-1.7603696776323028,436.7924999999999,409.48900000000003,16.599999999999966,446.4166666666667,3.718221525366775,2004,1,1,Wednesday,False,453.32,277.5895,False,False,Neutral,3136034.65,True
2004-01-08,TATAMOTORS,449.0,466.95,449.0,464.75,446.45,1965051,904859378.95,460.48,,4.099003247844106,438.975,411.49699999999996,17.94999999999999,460.23333333333335,3.8622915545992447,2004,1,1,Thursday,False,455.38,279.1115,False,False,Moderate_Positive,3054883.4,False
2004-01-09,TATAMOTORS,474.9,476.45,461.0,466.35,464.75,2419589,1135475621.45,469.28,,0.3442711135018876,441.48499999999996,413.334,15.449999999999989,467.9333333333334,3.3129623673206794,2004,1,1,Friday,False,457.37,280.62825,False,False,Neutral,2964523.65,False
2004-01-12,TATAMOTORS,494.0,494.0,461.0,467.65,466.35,2693205,1272624923.75,472.53,,0.2787605875415362,443.87999999999994,414.871,33.0,474.2166666666667,7.056559392708222,2004,1,1,Monday,False,459.93,282.13775,False,False,Neutral,2855632.1,False
2004-01-13,TATAMOTORS,462.0,497.4,444.5,493.95,467.65,4784619,2304741741.75,481.7,,5.6238640008553435,447.38,417.121,52.89999999999998,478.6166666666666,10.709585990484863,2004,1,1,Tuesday,False,467.83000000000004,283.77125,False,False,Strong_Positive,2937902.55,True
2004-01-14,TATAMOTORS,495.0,513.9,490.9,508.85,493.95,4844528,2435371285.9,502.71,,3.016499645713136,451.8125,419.635,23.0,504.55,4.519996069568634,2004,1,1,Wednesday,False,480.31000000000006,285.49625,False,False,Moderate_Positive,2984126.15,True
2004-01-15,TATAMOTORS,515.0,515.0,486.65,490.55,508.85,4567747,2301756100.3,503.91,,-3.596344698830699,455.15999999999997,421.87100000000004,28.350000000000023,497.40000000000003,5.779227397818779,2004,1,1,Thursday,False,485.46999999999997,287.13449999999995,False,False,Moderate_Negative,2958376.05,True
2004-01-16,TATAMOTORS,491.0,502.9,480.3,487.5,490.55,5268689,2599181836.6,493.33,,-0.6217510957089005,457.85999999999996,424.17,22.599999999999966,490.23333333333335,4.635897435897429,2004,1,1,Friday,False,489.7,288.76625,False,False,Neutral,3000194.0,True
2004-01-19,TATAMOTORS,490.0,511.25,485.3,508.3,487.5,4226284,2104966987.15,498.07,,4.266666666666669,461.51750000000004,426.905,25.94999999999999,501.6166666666666,5.10525280346252,2004,1,1,Monday,False,497.83000000000004,290.50325,False,False,Moderate_Positive,3046944.15,True
